image,width,height,megapixels,gpu_transfer,gpu_invert,gpu_gaussian,gpu_equalize,gpu_total
00000005_005.png,1024,1024,1.049,0.0008647000067867339,9.763999842107295e-05,0.0009854399948380887,0.001665019994834438,0.0027480999880935995
00000005_006.png,1024,1024,1.049,0.0006569999968633056,0.00011338000185787678,0.0013466799980960786,0.0009996199980378151,0.0024596799979917706
00000005_007.png,1024,1024,1.049,0.0008233999833464622,0.00015699999639764428,0.0009566799912136048,0.0014201199926901608,0.00253379998030141
00000006_000.png,1024,1024,1.049,0.0005650999955832958,0.00011795999598689378,0.001237000001128763,0.0010888800024986267,0.0024438399996142834
00000007_000.png,1024,1024,1.049,0.00135119998594746,0.00016523999511264265,0.0014332399994600564,0.0008754600072279573,0.0024739400018006564
00000008_000.png,1024,1024,1.049,0.0007508999842684716,0.00014245999627746642,0.0010364399990066887,0.0013862800027709455,0.0025651799980551007
00000008_001.png,1024,1024,1.049,0.0008108999754767865,7.20399955753237e-05,0.0012152000097557902,0.0012862200092058629,0.0025734600145369767
00000008_002.png,1024,1024,1.049,0.0004545999981928617,0.00012057999265380204,0.0010257000103592873,0.0012244600045960396,0.002370740007609129
00000009_000.png,1024,1024,1.049,0.0010402000043541193,0.00016062000649981202,0.0009757600026205182,0.0008727799926418811,0.0020091600017622113
00000010_000.png,1024,1024,1.049,0.0021791000035591424,0.00018059999565593897,0.001083039998775348,0.0012825400044675916,0.0025461799988988785
00000011_000.png,1024,1024,1.049,0.0005766999965999275,7.687999750487507e-05,0.0013733600033447146,0.0009448599943425506,0.0023950999951921404
00000011_001.png,1024,1024,1.049,0.0009055999980773777,0.00010853999992832541,0.0009692999883554876,0.001146159996278584,0.002223999984562397
00000011_002.png,1024,1024,1.049,0.0013278999831527472,0.00013965999823994935,0.0014355399936903269,0.0008524000004399568,0.0024275999923702328
00000011_003.png,1024,1024,1.049,0.0011931999761145562,0.000131720001809299,0.0009783399931620807,0.0013425200013443828,0.0024525799963157624
00000011_004.png,1024,1024,1.049,0.0004955999902449548,0.0003989999939221889,0.0011828800023067742,0.0008617200015578419,0.002443599997786805
00000011_005.png,1024,1024,1.049,0.0007651000050827861,0.0001173200027551502,0.0009610000008251518,0.0011974599969107659,0.002275780000491068
