image,width,height,megapixels,cpu_invert,cpu_gaussian,cpu_equalize,cpu_total
00000013_010.png,1024,1024,1.049,0.0007494200021028518,0.02385054000187665,0.013714960007928313,0.03831492001190782
00000013_011.png,1024,1024,1.049,0.0007905600010417402,0.024804319988470526,0.017809240007773043,0.04340411999728531
00000013_012.png,1024,1024,1.049,0.0007094000000506639,0.024145179986953737,0.013479100004769862,0.03833367999177426
00000013_013.png,1024,1024,1.049,0.0007265800028108061,0.02422641998855397,0.013836040021851658,0.03878904001321643
00000013_014.png,1024,1024,1.049,0.0007513200049288571,0.023368179984390735,0.013466079987119883,0.03758557997643947
00000013_015.png,1024,1024,1.049,0.0007509600021876395,0.02990821999264881,0.013726639992091805,0.044385819986928254
00000013_016.png,1024,1024,1.049,0.0006756000104360283,0.02277504000812769,0.014346699987072498,0.03779734000563621
00000013_017.png,1024,1024,1.049,0.0007287599961273372,0.024196500005200506,0.013780380005482585,0.03870564000681043
00000013_018.png,1024,1024,1.049,0.0007380799972452224,0.024072140012867747,0.015092200005892665,0.039902420016005635
00000013_019.png,1024,1024,1.049,0.0009810799965634942,0.02354534000623971,0.013698700000531971,0.03822512000333518
00000013_020.png,1024,1024,1.049,0.0008059200015850365,0.023650500003714114,0.013828319997992366,0.03828474000329152
00000013_021.png,1024,1024,1.049,0.00142976000206545,0.024980460002552718,0.01398188000312075,0.04039210000773892
00000013_022.png,1024,1024,1.049,0.0008630599942989648,0.02315848000580445,0.013440799992531538,0.03746233999263495
00000013_023.png,1024,1024,1.049,0.0008877199958078563,0.023426720011048018,0.01353996000252664,0.03785440000938251
00000013_024.png,1024,1024,1.049,0.0007761599961668253,0.02346236000303179,0.014350719994399696,0.03858923999359831
00000013_025.png,1024,1024,1.049,0.0007307800115086138,0.022970279993023722,0.01394384001614526,0.037644900020677594
00000013_026.png,1024,1024,1.049,0.0007521799998357892,0.023090399999637155,0.013492800004314631,0.037335380003787576
00000013_027.png,1024,1024,1.049,0.0007332399953156709,0.023716040002182127,0.014119099988602102,0.038568379986099896
00000013_028.png,1024,1024,1.049,0.000776939990464598,0.02691247999900952,0.017504819994792344,0.04519423998426646
00000013_029.png,1024,1024,1.049,0.0007327200029976666,0.023850979993585496,0.013340519997291267,0.03792421999387443
00000013_030.png,1024,1024,1.049,0.0010553000029176474,0.028116939985193313,0.014771760010626167,0.043943999998737125
00000013_031.png,1024,1024,1.049,0.0012089399970136583,0.02747695998987183,0.017971659975592046,0.04665755996247753
00000013_032.png,1024,1024,1.049,0.0009652399923652411,0.028690600011032075,0.018858199997339398,0.04851404000073671
00000013_033.png,1024,1024,1.049,0.0007746799965389073,0.02407039999961853,0.014747519989032298,0.039592599985189735
00000013_034.png,1024,1024,1.049,0.0008263399940915406,0.023334979999344797,0.013794619985856117,0.037955939979292454
00000013_035.png,1024,1024,1.049,0.0007934399996884167,0.023915220017079263,0.018848920019809156,0.04355758003657684
00000013_036.png,1024,1024,1.049,0.0010449400055222214,0.028227159986272454,0.017235740006435664,0.04650783999823034
00000013_037.png,1024,1024,1.049,0.0008272800012491643,0.029785099998116495,0.019291559979319573,0.04990393997868523
00000013_038.png,1024,1024,1.049,0.0012791400076821446,0.02993450000649318,0.019830919988453388,0.05104456000262871
00000013_039.png,1024,1024,1.049,0.0014359600027091801,0.028586879989597948,0.018048440001439302,0.04807127999374643
00000013_040.png,1024,1024,1.049,0.0007359800045378506,0.0248242000117898,0.01448084000730887,0.04004102002363652
00000013_041.png,1024,1024,1.049,0.00077931999694556,0.023996539996005595,0.013935860001947731,0.03871171999489889
00000013_042.png,1024,1024,1.049,0.0007972199935466051,0.02336421998916194,0.013516320020426065,0.03767776000313461
00000013_043.png,1024,1024,1.049,0.000851739989593625,0.02327367998659611,0.01471653999760747,0.038841959973797205
00000013_044.png,1024,1024,1.049,0.0007319199969060719,0.02341334001393989,0.01408902001567185,0.03823428002651781
00000013_045.png,1024,1024,1.049,0.0015357399941422045,0.026434919994790106,0.01976160000776872,0.047732259996701026
00000013_046.png,1024,1024,1.049,0.000752360001206398,0.02377546000061557,0.013491340004839003,0.03801916000666097
00000014_000.png,1024,1024,1.049,0.0011007199878804385,0.023908219998702407,0.015176380006596445,0.040185319993179286
00000015_000.png,1024,1024,1.049,0.000833099998999387,0.023283899994567037,0.013995260000228882,0.038112259993795305
00000016_000.png,1024,1024,1.049,0.0008739399956539274,0.024051300005521626,0.013737260003108532,0.03866250000428409
00000017_000.png,1024,1024,1.049,0.0007382199983112514,0.023369920009281488,0.013383100007195026,0.03749124001478776
00000017_001.png,1024,1024,1.049,0.0011798399849794806,0.03181348000653088,0.021381860005203635,0.054375179996714
00000017_002.png,1024,1024,1.049,0.0012583600007928907,0.027002779999747872,0.015804919984657318,0.04406605998519808
00000018_000.png,1024,1024,1.049,0.001053999993018806,0.02575051998719573,0.015633720008190723,0.04243823998840526
00000019_000.png,1024,1024,1.049,0.0007795199868269265,0.023771819996181876,0.013679439993575215,0.038230779976584015
00000020_000.png,1024,1024,1.049,0.0007450800039805472,0.02298834000248462,0.013737280003260821,0.037470700009725987
00000020_001.png,1024,1024,1.049,0.0007184799993410707,0.02329955998575315,0.013676239992491901,0.03769427997758612
00000020_002.png,1024,1024,1.049,0.000772779993712902,0.023486279987264425,0.013935040007345379,0.038194099988322704
00000021_000.png,1024,1024,1.049,0.0007160200038924813,0.02325012000510469,0.013533339987043291,0.03749947999604046
